,Name,Ratings,Price,Features
20,"Apple iPhone 11 (Black, 128 GB) (Includes EarPods, Power Adapter)","22,711 Ratings & 1,859 Reviews","₹56,999","128 GB ROM,  15.49 cm (6.1 inch) Liquid Retina HD Display,  12MP + 12MP | 12MP Front Camera,  A13 Bionic Chip Processor,  Brand Warranty for 1 Year"
21,"Apple iPhone 11 Pro (Midnight Green, 64 GB)","6,342 Ratings & 469 Reviews","₹84,900","64 GB ROM,  14.73 cm (5.8 inch) Super Retina XDR Display,  12MP + 12MP + 12MP | 12MP Front Camera,  A13 Bionic Chip Processor,  Brand Warranty for 1 Year"
22,"Apple iPhone SE (White, 128 GB)","82,341 Ratings & 7,185 Reviews","₹40,999","128 GB ROM,  11.94 cm (4.7 inch) Retina HD Display,  12MP Rear Camera | 7MP Front Camera,  A13 Bionic Chip with 3rd Gen Neural Engine Processor,  Water and Dust Resistant (1 meter for Upto 30 minutes, IP67),  Fast Charge Capable,  Wireless charging (Works with Qi Chargers | Qi Chargers are Sold Separately,  Brand Warranty of 1 Year"
23,"Apple iPhone 12 Mini (White, 64 GB)",415 Ratings & 37 Reviews,"₹69,900","64 GB ROM,  13.72 cm (5.4 inch) Super Retina XDR Display,  12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield,  IP68 Water Resistance,  All Screen OLED Display,  Brand Warranty for 1 Year"
24,"Apple iPhone 12 (Green, 64 GB)","1,100 Ratings & 97 Reviews","₹79,900","64 GB ROM,  15.49 cm (6.1 inch) Super Retina XDR Display,  12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield,  IP68 Water Resistance,  All Screen OLED Display,  Brand Warranty for 1 Year"
25,"Apple iPhone 12 (Black, 64 GB)","1,100 Ratings & 97 Reviews","₹79,900","64 GB ROM,  15.49 cm (6.1 inch) Super Retina XDR Display,  12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield,  IP68 Water Resistance,  All Screen OLED Display,  Brand Warranty for 1 Year"
26,"Apple iPhone 12 Mini (Blue, 64 GB)",415 Ratings & 37 Reviews,"₹69,900","64 GB ROM,  13.72 cm (5.4 inch) Super Retina XDR Display,  12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield,  IP68 Water Resistance,  All Screen OLED Display,  Brand Warranty for 1 Year"
27,"Apple iPhone XR (Coral, 128 GB) (Includes EarPods, Power Adapter)","66,807 Ratings & 5,773 Reviews","₹49,999","128 GB ROM,  15.49 cm (6.1 inch) Display,  12MP Rear Camera | 7MP Front Camera,  A12 Bionic Chip Processor,  iOS 13 Compatible,  Brand Warranty of 1 Year"
28,"Apple iPhone 11 (Yellow, 64 GB)","22,711 Ratings & 1,859 Reviews","₹51,999","64 GB ROM,  15.49 cm (6.1 inch) Liquid Retina HD Display,  12MP + 12MP | 12MP Front Camera,  A13 Bionic Chip Processor,  Brand Warranty of 1 Year"
29,"Apple iPhone 12 (Blue, 128 GB)","1,100 Ratings & 97 Reviews","₹84,900","128 GB ROM,  15.49 cm (6.1 inch) Super Retina XDR Display,  12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield,  IP68 Water Resistance,  All Screen OLED Display,  Brand Warranty for 1 Year"
30,"Apple iPhone 12 (Blue, 64 GB)","1,100 Ratings & 97 Reviews","₹79,900","64 GB ROM,  15.49 cm (6.1 inch) Super Retina XDR Display,  12MP + 12MP | 12MP Front Camera,  A14 Bionic Chip with Next Generation Neural Engine Processor,  Ceramic Shield,  IP68 Water Resistance,  All Screen OLED Display,  Brand Warranty for 1 Year"
